Date, EOD_OPTION_PRICE_LAST, EOD_OPTION_PRICE_ASK, EOD_OPTION_PRICE_BID, IVOL_LAST, EOD_UNDERLYING_PRICE_ASK, EOD_UNDERLYING_PRICE_BID
6/22/2015, 1.14, 1.14, 1.1, 15.269, 27.44, 27.43
6/23/2015, 1.16, 1.21, 1.17, 15.182, 27.56, 27.55
6/24/2015, 1.05, 1.05, 1.02, 15.495, 27.28, 27.27
6/25/2015, 0.93, 0.94, 0.9, 15.468, 27.05, 27.04
6/26/2015, 0.92, 0.95, 0.93, 15.76, 27.1, 27.09
6/29/2015, 0.8, 0.81, 0.76, 17.1, 26.64, 26.63
6/30/2015, 0.83, 0.77, 0.72, 16.692, 26.58, 26.57
7/1/2015, 0.73, 0.77, 0.75, 16.42, 26.67, 26.66
7/2/2015, 0.8, 0.82, 0.79, 16.535, 26.77, 26.76
7/6/2015, 0.59, 0.63, 0.6, 17.176, 26.32, 26.31
7/7/2015, 0.7, 0.71, 0.67, 17.072, 26.49, 26.48
7/8/2015, 0.53, 0.51, 0.49, 17.936, 25.89, 25.88
7/9/2015, 0.54, 0.55, 0.52, 17.541, 26.03, 26.02
7/10/2015, 0.59, 0.59, 0.56, 16.774, 26.28, 26.27
7/13/2015, 0.56, 0.61, 0.58, 15.996, 26.47, 26.46
7/14/2015, 0.64, 0.68, 0.64, 15.822, 26.66, 26.65
7/15/2015, 0.67, 0.7, 0.69, 15.465, 26.79, 26.78
7/16/2015, 0.79, 0.83, 0.79, 15.471, 27.04, 27.03
7/17/2015, 0.85, 0.9, 0.85, 14.902, 27.23, 27.12
7/20/2015, 0.76, 0.8, 0.77, 14.476, 27.13, 27.12
7/21/2015, 0.67, 0.68, 0.65, 15.16, 26.84, 26.83
7/22/2015, 0.56, 0.57, 0.55, 15.072, 26.63, 26.62
7/23/2015, 0.42, 0.44, 0.43, 15.39, 26.27, 26.26
7/24/2015, 0.3, 0.31, 0.29, 15.922, 25.76, 25.75
